ATL 460 300 26
DFW 308 316 36
DEN 264 247 34
ORD 413 208 9
LAX 98 274 6
CLT 492 283 31
LAS 156 275 8
PHX 178 309 8
MCO 500 371 36
SEA 119 110 34
MIA 520 406 9
IAH 354 369 8
